1110100 - Hammer-Head - 1 - 500 - 250 - hpp,66; 
1130400 - Crash-Bolt - 28 - 14000 - 7000 - attmin,18; attmax,25; 
1110401 - Crash-BoltCRT(+1) - 24 - 18000 - 4500 - hpp,261; crit,80; 
1120401 - Crash-BoltTA(+1) - 24 - 34000 - 8500 - atttransmin,48; atttransmax,84; 
1130401 - Crash-BoltTD(+1) - 24 - 10000 - 2500 - attmin,18; attmax,25; 
1110402 - Crash-BoltCRT(+2) - 25 - 22000 - 5500 - hpp,261; crit,100; 
1120402 - Crash-BoltTA(+2) - 25 - 43000 - 10750 - atttransmin,48; atttransmax,84; 
1130402 - Crash-BoltTD(+2) - 25 - 12000 - 3000 - attmin,18; attmax,25; 
1110403 - Crash-BoltCRT(+3) - 26 - 28000 - 7000 - hpp,261; crit,150; 
1120403 - Crash-BoltTA(+3) - 26 - 63000 - 15750 - atttransmin,48; atttransmax,84; 
1130403 - Crash-BoltTD(+3) - 26 - 15000 - 3750 - attmin,18; attmax,25; 
1110404 - Crash-BoltCRT(+4) - 27 - 31000 - 7750 - hpp,261; crit,173; 
1120404 - Crash-BoltTA(+4) - 27 - 69000 - 17250 - atttransmin,48; atttransmax,84; 
1130404 - Crash-BoltTD(+4) - 27 - 17000 - 4250 - attmin,18; attmax,25; 
1110405 - Crash-BoltCRT(+5) - 28 - 34000 - 8500 - hpp,261; crit,190; 
1120405 - Crash-BoltTA(+5) - 28 - 76000 - 19000 - atttransmin,48; atttransmax,84; 
1130405 - Crash-BoltTD(+5) - 28 - 19000 - 4750 - attmin,18; attmax,25; 
1110500 - LykanLauncher - 38 - 80000 - 40000 - hpp,326; 
1120500 - LykanLauncher - 38 - 91000 - 45500 - atttransmin,58; atttransmax,105; 
1130500 - LykanLauncher - 38 - 57000 - 28500 - attmin,21; attmax,29; 
1110501 - LykanLauncherCRT(+1) - 34 - 40000 - 10000 - hpp,326; crit,105; 
1120501 - LykanLauncherTA(+1) - 34 - 76000 - 19000 - atttransmin,58; atttransmax,105; 
1130501 - LykanLauncherTD(+1) - 34 - 22000 - 5500 - attmin,21; attmax,29; 
1110502 - LykanLauncherCRT(+2) - 35 - 46000 - 11500 - hpp,326; crit,125; 
1120502 - LykanLauncherTA(+2) - 35 - 91000 - 22750 - atttransmin,58; atttransmax,105; 
1130502 - LykanLauncherTD(+2) - 35 - 25000 - 6250 - attmin,21; attmax,29; 
1110503 - LykanLauncherCRT(+3) - 36 - 55000 - 13750 - hpp,326; crit,175; 
1120503 - LykanLauncherTA(+3) - 36 - 120000 - 30000 - atttransmin,58; atttransmax,105; 
1130503 - LykanLauncherTD(+3) - 36 - 29000 - 7250 - attmin,21; attmax,29; 
1110504 - LykanLauncherCRT(+4) - 37 - 61000 - 15250 - hpp,326; crit,201; 
1120504 - LykanLauncherTA(+4) - 37 - 132000 - 33000 - atttransmin,58; atttransmax,105; 
1130504 - LykanLauncherTD(+4) - 37 - 32000 - 8000 - attmin,21; attmax,29; 
1110505 - LykanLauncherCRT(+5) - 38 - 67000 - 16750 - hpp,326; crit,221; 
1120505 - LykanLauncherTA(+5) - 38 - 145000 - 36250 - atttransmin,58; atttransmax,105; 
1130505 - LykanLauncherTD(+5) - 38 - 35000 - 8750 - attmin,21; attmax,29; 
1110600 - Hyperbore - 48 - 98000 - 49000 - hpp,391; 
1120600 - Hyperbore - 48 - 102000 - 51000 - atttransmin,68; atttransmax,126; 
1130600 - Hyperbore - 48 - 75000 - 37500 - attmin,24; attmax,33; 
1110601 - HyperboreCRT(+1) - 44 - 64000 - 16000 - hpp,391; crit,130; 
1120601 - HyperboreTA(+1) - 44 - 122000 - 30500 - atttransmin,68; atttransmax,126; 
1130601 - HyperboreTD(+1) - 44 - 34000 - 8500 - attmin,24; attmax,33; 
1110602 - HyperboreCRT(+2) - 45 - 68000 - 17000 - hpp,391; crit,150; 
1120602 - HyperboreTA(+2) - 45 - 133000 - 33250 - atttransmin,68; atttransmax,126; 
1130602 - HyperboreTD(+2) - 45 - 35000 - 8750 - attmin,24; attmax,33; 
1110603 - HyperboreCRT(+3) - 46 - 75000 - 18750 - hpp,391; crit,200; 
1120603 - HyperboreTA(+3) - 46 - 158000 - 39500 - atttransmin,68; atttransmax,126; 
1130603 - HyperboreTD(+3) - 46 - 37000 - 9250 - attmin,24; attmax,33; 
1110604 - HyperboreCRT(+4) - 47 - 83000 - 20750 - hpp,391; crit,230; 
1120604 - HyperboreTA(+4) - 47 - 174000 - 43500 - atttransmin,68; atttransmax,126; 
1130604 - HyperboreTD(+4) - 47 - 41000 - 10250 - attmin,24; attmax,33; 
1110605 - HyperboreCRT(+5) - 48 - 91000 - 22750 - hpp,391; crit,253; 
1120605 - HyperboreTA(+5) - 48 - 191000 - 47750 - atttransmin,68; atttransmax,126; 
1130605 - HyperboreTD(+5) - 48 - 45000 - 11250 - attmin,24; attmax,33; 
1110700 - Firewall - 58 - 110000 - 55000 - hpp,456; 
1120700 - Firewall - 58 - 130000 - 65000 - atttransmin,78; atttransmax,147; 
1130700 - Firewall - 58 - 80000 - 40000 - attmin,27; attmax,37; 
1110701 - FirewallCRT(+1) - 54 - 78000 - 19500 - hpp,456; crit,155; 
1120701 - FirewallTA(+1) - 54 - 149000 - 37250 - atttransmin,78; atttransmax,147; 
1130701 - FirewallTD(+1) - 54 - 40000 - 10000 - attmin,27; attmax,37; 
1110702 - FirewallCRT(+2) - 55 - 82000 - 20500 - hpp,456; crit,175; 
1120702 - FirewallTA(+2) - 55 - 160000 - 40000 - atttransmin,78; atttransmax,147; 
1130702 - FirewallTD(+2) - 55 - 41000 - 10250 - attmin,27; attmax,37; 
1110703 - FirewallCRT(+3) - 56 - 89000 - 22250 - hpp,456; crit,225; 
1120703 - FirewallTA(+3) - 56 - 186000 - 46500 - atttransmin,78; atttransmax,147; 
1130703 - FirewallTD(+3) - 56 - 43000 - 10750 - attmin,27; attmax,37; 
1110704 - FirewallCRT(+4) - 57 - 98000 - 24500 - hpp,456; crit,259; 
1120704 - FirewallTA(+4) - 57 - 205000 - 51250 - atttransmin,78; atttransmax,147; 
1130704 - FirewallTD(+4) - 57 - 47000 - 11750 - attmin,27; attmax,37; 
1110705 - FirewallCRT(+5) - 58 - 108000 - 27000 - hpp,456; crit,285; 
1120705 - FirewallTA(+5) - 58 - 226000 - 56500 - atttransmin,78; atttransmax,147; 
1130705 - FirewallTD(+5) - 58 - 52000 - 13000 - attmin,27; attmax,37; 
1110800 - Blazer - 68 - 210000 - 105000 - hpp,521; 
1120800 - Blazer - 68 - 247000 - 123500 - atttransmin,88; atttransmax,168; 
1130800 - Blazer - 68 - 152000 - 76000 - attmin,30; attmax,41; 
1110801 - BlazerCRT(+1) - 64 - 91000 - 22750 - hpp,521; crit,180; 
1120801 - BlazerTA(+1) - 64 - 173000 - 43250 - atttransmin,88; atttransmax,168; 
1130801 - BlazerTD(+1) - 64 - 45000 - 11250 - attmin,30; attmax,41; 
1110802 - BlazerCRT(+2) - 65 - 94000 - 23500 - hpp,521; crit,200; 
1120802 - BlazerTA(+2) - 65 - 184000 - 46000 - atttransmin,88; atttransmax,168; 
1130802 - BlazerTD(+2) - 65 - 46000 - 11500 - attmin,30; attmax,41; 
1110803 - BlazerCRT(+3) - 66 - 101000 - 25250 - hpp,521; crit,250; 
1120803 - BlazerTA(+3) - 66 - 209000 - 52250 - atttransmin,88; atttransmax,168; 
1130803 - BlazerTD(+3) - 66 - 48000 - 12000 - attmin,30; attmax,41; 
1110804 - BlazerCRT(+4) - 67 - 111000 - 27750 - hpp,521; crit,288; 
1120804 - BlazerTA(+4) - 67 - 230000 - 57500 - atttransmin,88; atttransmax,168; 
1130804 - BlazerTD(+4) - 67 - 53000 - 13250 - attmin,30; attmax,41; 
1110805 - BlazerCRT(+5) - 68 - 122000 - 30500 - hpp,521; crit,316; 
1120805 - BlazerTA(+5) - 68 - 253000 - 63250 - atttransmin,88; atttransmax,168; 
1130805 - BlazerTD(+5) - 68 - 58000 - 14500 - attmin,30; attmax,41; 
1110900 - Ultrabash - 78 - 315000 - 157500 - hpp,586; 
1120900 - Ultrabash - 78 - 370000 - 185000 - atttransmin,98; atttransmax,189; 
1130900 - Ultrabash - 78 - 228000 - 114000 - attmin,33; attmax,45; 
1110901 - UltrabashCRT(+1) - 74 - 107000 - 26750 - hpp,586; crit,205; 
1120901 - UltrabashTA(+1) - 74 - 204000 - 51000 - atttransmin,98; atttransmax,189; 
1130901 - UltrabashTD(+1) - 74 - 52000 - 13000 - attmin,33; attmax,45; 
1110902 - UltrabashCRT(+2) - 75 - 110000 - 27500 - hpp,586; crit,225; 
1120902 - UltrabashTA(+2) - 75 - 215000 - 53750 - atttransmin,98; atttransmax,189; 
1130902 - UltrabashTD(+2) - 75 - 53000 - 13250 - attmin,33; attmax,45; 
1110903 - UltrabashCRT(+3) - 76 - 119000 - 29750 - hpp,586; crit,285; 
1120903 - UltrabashTA(+3) - 76 - 241000 - 60250 - atttransmin,98; atttransmax,189; 
1130903 - UltrabashTD(+3) - 76 - 55000 - 13750 - attmin,33; attmax,45; 
1110904 - UltrabashCRT(+4) - 77 - 131000 - 32750 - hpp,586; crit,328; 
1120904 - UltrabashTA(+4) - 77 - 265000 - 66250 - atttransmin,98; atttransmax,189; 
1130904 - UltrabashTD(+4) - 77 - 61000 - 15250 - attmin,33; attmax,45; 
1110905 - UltrabashCRT(+5) - 78 - 144000 - 36000 - hpp,586; crit,361; 
1120905 - UltrabashTA(+5) - 78 - 292000 - 73000 - atttransmin,98; atttransmax,189; 
1130905 - UltrabashTD(+5) - 78 - 67000 - 16750 - attmin,33; attmax,45; 
1111000 - CGS - 88 - 472500 - 236250 - hpp,651; 
1121000 - CGS - 88 - 555000 - 277500 - atttransmin,108; atttransmax,210; 
1131000 - CGS - 88 - 342000 - 171000 - attmin,36; attmax,49; 
1111001 - CGS-CRT(+1) - 84 - 98000 - 24500 - hpp,651; crit,250; 
1121001 - CGS-TA(+1) - 84 - 241000 - 60250 - atttransmin,108; atttransmax,210; 
1131001 - CGS-TD(+1) - 84 - 60000 - 15000 - attmin,36; attmax,49; 
1111002 - CGS-CRT(+2) - 85 - 136000 - 34000 - hpp,651; crit,280; 
1121002 - CGS-TA(+2) - 85 - 252000 - 63000 - atttransmin,108; atttransmax,210; 
1131002 - CGS-TD(+2) - 85 - 61000 - 15250 - attmin,36; attmax,49; 
1111003 - CGS-CRT(+3) - 86 - 102000 - 25500 - hpp,651; crit,320; 
1121003 - CGS-TA(+3) - 86 - 280000 - 70000 - atttransmin,108; atttransmax,210; 
1131003 - CGS-TD(+3) - 86 - 63000 - 15750 - attmin,36; attmax,49; 
1111004 - CGS-CRT(+4) - 87 - 112000 - 28000 - hpp,651; crit,368; 
1121004 - CGS-TA(+4) - 87 - 308000 - 77000 - atttransmin,108; atttransmax,210; 
1131004 - CGS-TD(+4) - 87 - 69000 - 17250 - attmin,36; attmax,49; 
1111005 - CGS-CRT(+5) - 88 - 123000 - 30750 - hpp,651; crit,405; 
1121005 - CGS-TA(+5) - 88 - 339000 - 84750 - atttransmin,108; atttransmax,210; 
1131005 - CGS-TD(+5) - 88 - 76000 - 19000 - attmin,36; attmax,49; 
1111100 - Plasmodium - 98 - 722500 - 361250 - hpp,720; 
1121100 - Plasmodium - 98 - 855000 - 427500 - atttransmin,120; atttransmax,250; 
1131100 - Plasmodium - 98 - 612000 - 306000 - attmin,40; attmax,48; 
1111101 - PlasmodiumCRT(+1) - 94 - 152000 - 38000 - hpp,720; crit,278; 
1121101 - PlasmodiumTA(+1) - 94 - 304000 - 76000 - atttransmin,120; atttransmax,250; 
1131101 - Plasmodium105(+1) - 94 - 67000 - 16750 - attmin,40; attmax,48; 
1111102 - PlasmodiumCRT(+2) - 95 - 157000 - 39250 - hpp,720; crit,310; 
1121102 - PlasmodiumTA(+2) - 95 - 324000 - 81000 - atttransmin,120; atttransmax,250; 
1131102 - PlasmodiumTD(+2) - 95 - 68000 - 17000 - attmin,40; attmax,48; 
1111103 - PlasmodiumCRT(+3) - 96 - 164000 - 41000 - hpp,720; crit,350; 
1121103 - PlasmodiumTA(+3) - 96 - 341000 - 85250 - atttransmin,120; atttransmax,250; 
1131103 - PlasmodiumTD(+3) - 96 - 72000 - 18000 - attmin,40; attmax,48; 
1111104 - PlasmodiumCRT(+4) - 97 - 180000 - 45000 - hpp,720; crit,403; 
1121104 - PlasmodiumTA(+4) - 97 - 375000 - 93750 - atttransmin,120; atttransmax,250; 
1131104 - PlasmodiumTD(+4) - 97 - 79000 - 19750 - attmin,40; attmax,48; 
1111105 - PlasmodiumCRT(+5) - 98 - 198000 - 49500 - hpp,720; crit,443; 
1121105 - PlasmodiumTA(+5) - 98 - 413000 - 103250 - atttransmin,120; atttransmax,250; 
1131105 - PlasmodiumTD(+5) - 98 - 87000 - 21750 - attmin,40; attmax,48; 
1111400 - PatchMark - 1 - 100 - 100 - hpp,196; 
1111200 - SantaHelmet - 1 - 100 - 100 - hpp,196; 
1210100 - Spiker - 1 - 500 - 250 - hpp,66; 
1220100 - Spiker - 1 - 700 - 350 - atttransmin,18; atttransmax,21; 
1230100 - Spiker - 1 - 400 - 200 - attmin,9; attmax,13; 
1210101 - SpikerMIS(+1) - 1 - 700 - 175 - hpp,66; evade,23; 
1220101 - SpikerBST(+1) - 1 - 800 - 200 - atttransmin,18; atttransmax,21; speed,3; 
1230101 - SpikerGUN(+1) - 1 - 800 - 200 - attmin,9; attmax,13; 
1210102 - SpikerMIS(+2) - 1 - 900 - 225 - hpp,66; evade,35; 
1220102 - SpikerBST(+2) - 1 - 1000 - 250 - atttransmin,18; atttransmax,21; speed,15; 
1230102 - SpikerGUN(+2) - 1 - 900 - 225 - attmin,9; attmax,13; 
1210103 - SpikerMIS(+3) - 1 - 1200 - 300 - hpp,66; evade,65; 
1220103 - SpikerBST(+3) - 1 - 1600 - 400 - atttransmin,18; atttransmax,21; speed,45; 
1230103 - SpikerGUN(+3) - 1 - 1100 - 275 - attmin,9; attmax,13; 
1210104 - SpikerMIS(+4) - 1 - 1300 - 325 - hpp,66; evade,75; 
1220104 - SpikerBST(+4) - 1 - 1800 - 450 - atttransmin,18; atttransmax,21; speed,52; 
1230104 - SpikerGUN(+4) - 1 - 1200 - 300 - attmin,9; attmax,13; 
1210105 - SpikerMIS(+5) - 1 - 1400 - 350 - hpp,66; evade,82; 
1220105 - SpikerBST(+5) - 1 - 2000 - 500 - atttransmin,18; atttransmax,21; speed,57; 
1230105 - SpikerGUN(+5) - 1 - 1300 - 325 - attmin,9; attmax,13; 
1210200 - Reacular - 8 - 2200 - 1100 - hpp,131; 
1220200 - Reacular - 8 - 2900 - 1450 - atttransmin,28; atttransmax,42; 
1230200 - Reacular - 8 - 2000 - 1000 - attmin,12; attmax,17; 
1210201 - ReacularMIS(+1) - 4 - 1400 - 350 - hpp,131; evade,38; 
1220201 - ReacularBST(+1) - 4 - 1700 - 425 - atttransmin,28; atttransmax,42; speed,18; 
1230201 - ReacularGUN(+1) - 4 - 1200 - 300 - attmin,12; attmax,17; 
1210202 - ReacularMIS(+2) - 5 - 1500 - 375 - hpp,131; evade,50; 
1220202 - ReacularBST(+2) - 5 - 1900 - 475 - atttransmin,28; atttransmax,42; speed,30; 
1230202 - ReacularGUN(+2) - 5 - 1300 - 325 - attmin,12; attmax,17; 
1210203 - ReacularMIS(+3) - 6 - 1800 - 450 - hpp,131; evade,80; 
1220203 - ReacularBST(+3) - 6 - 2500 - 625 - atttransmin,28; atttransmax,42; speed,60; 
1230203 - ReacularGUN(+3) - 6 - 1500 - 375 - attmin,12; attmax,17; 
1210204 - ReacularMIS(+4) - 7 - 2000 - 500 - hpp,131; evade,92; 
1220204 - ReacularBST(+4) - 7 - 2800 - 700 - atttransmin,28; atttransmax,42; speed,69; 
1230204 - ReacularGUN(+4) - 7 - 1700 - 425 - attmin,12; attmax,17; 
1210205 - ReacularMIS(+5) - 8 - 2200 - 550 - hpp,131; evade,101; 
1220205 - ReacularBST(+5) - 8 - 3100 - 775 - atttransmin,28; atttransmax,42; speed,76; 
1230205 - ReacularGUN(+5) - 8 - 1900 - 475 - attmin,12; attmax,17; 
1210300 - Sinder - 18 - 8300 - 4150 - hpp,196; 
1220300 - Sinder - 18 - 10000 - 5000 - atttransmin,38; atttransmax,63; 
1230300 - Sinder - 18 - 6300 - 3150 - attmin,15; attmax,21; 
1210301 - SinderMIS(+1) - 14 - 5700 - 1425 - hpp,196; evade,53; 
1220301 - SinderBST(+1) - 14 - 7100 - 1775 - atttransmin,38; atttransmax,63; speed,33; 
1230301 - SinderGUN(+1) - 14 - 4200 - 1050 - attmin,15; attmax,21; 
1210302 - SinderMIS(+2) - 15 - 8200 - 2050 - hpp,196; evade,65; 
1220302 - SinderBST(+2) - 15 - 10000 - 2500 - atttransmin,38; atttransmax,63; speed,45; 
1230302 - SinderGUN(+2) - 15 - 6000 - 1500 - attmin,15; attmax,21; 
1210303 - SinderMIS(+3) - 16 - 12000 - 3000 - hpp,196; evade,95; 
1220303 - SinderBST(+3) - 16 - 16000 - 4000 - atttransmin,38; atttransmax,63; speed,75; 
1230303 - SinderGUN(+3) - 16 - 9000 - 2250 - attmin,15; attmax,21; 
1210304 - SinderMIS(+4) - 17 - 13000 - 3250 - hpp,196; evade,109; 
1220304 - SinderBST(+4) - 17 - 18000 - 4500 - atttransmin,38; atttransmax,63; speed,86; 
1230304 - SinderGUN(+4) - 17 - 10000 - 2500 - attmin,15; attmax,21; 
1210305 - SinderMIS(+5) - 18 - 14000 - 3500 - hpp,196; evade,120; 
1220305 - SinderBST(+5) - 18 - 20000 - 5000 - atttransmin,38; atttransmax,63; speed,95; 
1230305 - SinderGUN(+5) - 18 - 11000 - 2750 - attmin,15; attmax,21; 
1210400 - Jet-Peak - 28 - 20000 - 10000 - hpp,261; 
1220400 - Jet-Peak - 28 - 25000 - 12500 - atttransmin,48; atttransmax,84; 
1230400 - Jet-Peak - 28 - 14000 - 7000 - attmin,18; attmax,25; 
1210401 - Jet-PeakMIS(+1) - 24 - 17000 - 4250 - hpp,261; evade,68; 
1220401 - Jet-PeakBST(+1) - 24 - 22000 - 5500 - atttransmin,48; atttransmax,84; speed,48; 
1230401 - Jet-PeakGUN(+1) - 24 - 12000 - 3000 - attmin,18; attmax,25; 
1210402 - Jet-PeakMIS(+2) - 25 - 21000 - 5250 - hpp,261; evade,80; 
1220402 - Jet-PeakBST(+2) - 25 - 27000 - 6750 - atttransmin,48; atttransmax,84; speed,60; 
1230402 - Jet-PeakGUN(+2) - 25 - 14000 - 3500 - attmin,18; attmax,25; 
1210403 - Jet-PeakMIS(+3) - 26 - 26000 - 6500 - hpp,261; evade,110; 
1220403 - Jet-PeakBST(+3) - 26 - 36000 - 9000 - atttransmin,48; atttransmax,84; speed,90; 
1230403 - Jet-PeakGUN(+3) - 26 - 18000 - 4500 - attmin,18; attmax,25; 
1210404 - Jet-PeakMIS(+4) - 27 - 29000 - 7250 - hpp,261; evade,127; 
1220404 - Jet-PeakBST(+4) - 27 - 40000 - 10000 - atttransmin,48; atttransmax,84; speed,104; 
1230404 - Jet-PeakGUN(+4) - 27 - 20000 - 5000 - attmin,18; attmax,25; 
1210405 - Jet-PeakMIS(+5) - 28 - 32000 - 8000 - hpp,261; evade,139; 
1220405 - Jet-PeakBST(+5) - 28 - 44000 - 11000 - atttransmin,48; atttransmax,84; speed,114; 
1230405 - Jet-PeakGUN(+5) - 28 - 22000 - 5500 - attmin,18; attmax,25; 
1210500 - Byte-Blaster - 38 - 80000 - 40000 - hpp,326; 
1220500 - Byte-Blaster - 38 - 91000 - 45500 - atttransmin,58; atttransmax,105; 
1230500 - Byte-Blaster - 38 - 57000 - 28500 - attmin,21; attmax,29; 
1210501 - Byte-BlasterMIS(+1) - 34 - 39000 - 9750 - hpp,326; evade,83; 
1220501 - Byte-BlasterBST(+1) - 34 - 50000 - 12500 - atttransmin,58; atttransmax,105; speed,63; 
1230501 - Byte-BlasterGUN(+1) - 34 - 25000 - 6250 - attmin,21; attmax,29; 
1210502 - Byte-BlasterMIS(+2) - 35 - 44000 - 11000 - hpp,326; evade,95; 
1220502 - Byte-BlasterBST(+2) - 35 - 57000 - 14250 - atttransmin,58; atttransmax,105; speed,75; 
1230502 - Byte-BlasterGUN(+2) - 35 - 29000 - 7250 - attmin,21; attmax,29; 
1210503 - Byte-BlasterMIS(+3) - 36 - 51000 - 12750 - hpp,326; evade,125; 
1220503 - Byte-BlasterBST(+3) - 36 - 69000 - 17250 - atttransmin,58; atttransmax,105; speed,105; 
1230503 - Byte-BlasterGUN(+3) - 36 - 34000 - 8500 - attmin,21; attmax,29; 
1210504 - Byte-BlasterMIS(+4) - 37 - 56000 - 14000 - hpp,326; evade,144; 
1220504 - Byte-BlasterBST(+4) - 37 - 76000 - 19000 - atttransmin,58; atttransmax,105; speed,121; 
1230504 - Byte-BlasterGUN(+4) - 37 - 37000 - 9250 - attmin,21; attmax,29; 
1210505 - Byte-BlasterMIS(+5) - 38 - 62000 - 15500 - hpp,326; evade,158; 
1220505 - Byte-BlasterBST(+5) - 38 - 84000 - 21000 - atttransmin,58; atttransmax,105; speed,133; 
1230505 - Byte-BlasterGUN(+5) - 38 - 41000 - 10250 - attmin,21; attmax,29; 
1210600 - Skimmer - 48 - 98000 - 49000 - hpp,391; 
1220600 - Skimmer - 48 - 102000 - 51000 - atttransmin,68; atttransmax,126; 
1230600 - Skimmer - 48 - 75000 - 37500 - attmin,24; attmax,33; 
1210601 - SkimmerMIS(+1) - 44 - 62000 - 15500 - hpp,391; evade,98; 
1220601 - SkimmerBST(+1) - 44 - 79000 - 19750 - atttransmin,68; atttransmax,126; speed,78; 
1230601 - SkimmerGUN(+1) - 44 - 39000 - 9750 - attmin,24; attmax,33; 
1210602 - SkimmerMIS(+2) - 45 - 64000 - 16000 - hpp,391; evade,110; 
1220602 - SkimmerBST(+2) - 45 - 84000 - 21000 - atttransmin,68; atttransmax,126; speed,90; 
1230602 - SkimmerGUN(+2) - 45 - 40000 - 10000 - attmin,24; attmax,33; 
1210603 - SkimmerMIS(+3) - 46 - 69000 - 17250 - hpp,391; evade,140; 
1220603 - SkimmerBST(+3) - 46 - 93000 - 23250 - atttransmin,68; atttransmax,126; speed,120; 
1230603 - SkimmerGUN(+3) - 46 - 44000 - 11000 - attmin,24; attmax,33; 
1210604 - SkimmerMIS(+4) - 47 - 76000 - 19000 - hpp,391; evade,161; 
1220604 - SkimmerBST(+4) - 47 - 102000 - 25500 - atttransmin,68; atttransmax,126; speed,138; 
